Hitech1,"sector71,Mohali",SasNagar,226021,8756261534,56
Hitech2,"sector71,Mohali",SasNagar,226021,8756261534,56
Hitech3,"sector71,Mohali",SasNagar,226021,8756261534,56
Hitech4,"sector71,Mohali",SasNagar,226021,8756261534,56
Hitech5,"sector71,Mohali",SasNagar,226021,8756261534,56
Hitech6,"sector71,Mohali",SasNagar,226021,8756261534,56
Hitech7,"sector71,Mohali",SasNagar,226021,8756261534,56
Hitech8,"sector71,Mohali",SasNagar,226021,8756261534,56
Hitech9,"sector71,Mohali",SasNagar,226021,8756261534,56
Hitech10,"sector71,Mohali",SasNagar,226021,8756261534,56
